S	I	R	t
197.995	41.8875	160.118	7.73333
197.901	41.859	160.24	7.76667
197.813	41.8292	160.358	7.8
197.729	41.7982	160.473	7.83333
197.651	41.7661	160.583	7.86667
197.578	41.733	160.689	7.9
197.509	41.6989	160.792	7.93333
197.446	41.6639	160.89	7.96667
197.387	41.6281	160.984	8
197.333	41.5916	161.075	8.03333
197.284	41.5543	161.162	8.06667
197.239	41.5165	161.244	8.1
197.199	41.478	161.323	8.13333
197.163	41.4391	161.398	8.16667
197.131	41.3998	161.469	8.2
197.104	41.36	161.536	8.23333
197.08	41.32	161.6	8.26667
197.061	41.2797	161.659	8.3
197.045	41.2392	161.716	8.33333
197.033	41.1985	161.768	8.36667
197.025	41.1577	161.817	8.4
197.021	41.1169	161.863	8.43333
197.019	41.0761	161.905	8.46667
197.022	41.0353	161.943	8.5
197.027	40.9946	161.978	8.53333
197.036	40.954	162.01	8.56667
197.047	40.9136	162.039	8.6
197.062	40.8735	162.065	8.63333
197.079	40.8335	162.087	8.66667
197.099	40.7939	162.107	8.7
197.122	40.7546	162.123	8.73333
197.147	40.7157	162.137	8.76667
197.175	40.6771	162.148	8.8
197.205	40.639	162.156	8.83333
197.237	40.6013	162.162	8.86667
197.271	40.5641	162.165	8.9
197.307	40.5275	162.165	8.93333
197.345	40.4913	162.163	8.96667
197.385	40.4557	162.159	9
197.427	40.4207	162.153	9.03333
197.47	40.3863	162.144	9.06667
197.514	40.3525	162.133	9.1
197.561	40.3193	162.12	9.13333
197.608	40.2868	162.105	9.16667
197.656	40.255	162.089	9.2
197.706	40.2238	162.07	9.23333
197.757	40.1933	162.05	9.26667
197.809	40.1636	162.028	9.3
197.861	40.1345	162.004	9.33333
197.915	40.1062	161.979	9.36667
197.969	40.0787	161.953	9.4
198.023	40.0518	161.925	9.43333
198.079	40.0258	161.896	9.46667
198.134	40.0004	161.865	9.5
198.19	39.9759	161.834	9.53333
198.247	39.9521	161.801	9.56667
198.303	39.9291	161.768	9.6
198.36	39.9068	161.733	9.63333
198.417	39.8853	161.697	9.66667
198.474	39.8646	161.661	9.7
198.531	39.8446	161.624	9.73333
198.588	39.8254	161.586	9.76667
198.645	39.807	161.548	9.8
198.701	39.7894	161.509	9.83333
198.758	39.7724	161.47	9.86667
198.814	39.7563	161.43	9.9
198.869	39.7409	161.39	9.93333
198.925	39.7262	161.349	9.96667
