S	I	R	t
218	74	108	0.481667
218	74	108	0.4825
217	75	108	0.483333
217	75	108	0.484167
217	75	108	0.485
217	75	108	0.485833
217	75	108	0.486667
217	74	109	0.4875
217	74	109	0.488333
218	74	108	0.489167
217	75	108	0.49
217	74	109	0.490833
216	75	109	0.491667
216	75	109	0.4925
216	75	109	0.493333
216	75	109	0.494167
218	75	107	0.495
218	75	107	0.495833
218	74	108	0.496667
218	74	108	0.4975
218	74	108	0.498333
218	74	108	0.499167
218	73	109	0.5
218	73	109	0.500833
218	73	109	0.501667
218	73	109	0.5025
218	73	109	0.503333
218	73	109	0.504167
218	73	109	0.505
218	72	110	0.505833
218	71	111	0.506667
218	71	111	0.5075
217	72	111	0.508333
217	72	111	0.509167
216	73	111	0.51
216	73	111	0.510833
216	73	111	0.511667
216	72	112	0.5125
216	72	112	0.513333
216	72	112	0.514167
216	72	112	0.515
216	71	113	0.515833
217	71	112	0.516667
215	73	112	0.5175
215	72	113	0.518333
215	71	114	0.519167
215	71	114	0.52
215	71	114	0.520833
215	71	114	0.521667
215	71	114	0.5225
215	70	115	0.523333
216	70	114	0.524167
216	69	115	0.525
216	69	115	0.525833
216	69	115	0.526667
216	69	115	0.5275
216	69	115	0.528333
216	68	116	0.529167
216	68	116	0.53
216	68	116	0.530833
216	68	116	0.531667
216	68	116	0.5325
216	68	116	0.533333
215	69	116	0.534167
215	69	116	0.535
215	67	118	0.535833
215	67	118	0.536667
215	67	118	0.5375
215	67	118	0.538333
214	68	118	0.539167
214	68	118	0.54
214	68	118	0.540833
214	68	118	0.541667
214	68	118	0.5425
214	67	119	0.543333
214	67	119	0.544167
214	67	119	0.545
214	67	119	0.545833
214	67	119	0.546667
214	66	120	0.5475
214	66	120	0.548333
214	66	120	0.549167
214	66	120	0.55
214	66	120	0.550833
214	66	120	0.551667
214	65	121	0.5525
214	65	121	0.553333
214	65	121	0.554167
213	66	121	0.555
213	66	121	0.555833
213	65	122	0.556667
213	65	122	0.5575
213	64	123	0.558333
213	64	123	0.559167
213	64	123	0.56
213	64	123	0.560833
213	64	123	0.561667
213	64	123	0.5625
213	64	123	0.563333
213	64	123	0.564167
213	64	123	0.565
213	64	123	0.565833
213	64	123	0.566667
213	64	123	0.5675
213	64	123	0.568333
213	64	123	0.569167
213	64	123	0.57
213	64	123	0.570833
213	64	123	0.571667
213	64	123	0.5725
213	64	123	0.573333
213	64	123	0.574167
213	64	123	0.575
213	64	123	0.575833
213	63	124	0.576667
213	63	124	0.5775
213	63	124	0.578333
213	63	124	0.579167
213	63	124	0.58
213	62	125	0.580833
213	62	125	0.581667
213	62	125	0.5825
213	62	125	0.583333
213	62	125	0.584167
213	62	125	0.585
213	62	125	0.585833
213	62	125	0.586667
213	62	125	0.5875
214	62	124	0.588333
214	61	125	0.589167
214	61	125	0.59
214	61	125	0.590833
214	61	125	0.591667
214	60	126	0.5925
214	60	126	0.593333
214	60	126	0.594167
212	62	126	0.595
212	62	126	0.595833
212	62	126	0.596667
211	63	126	0.5975
211	63	126	0.598333
211	62	127	0.599167
210	63	127	0.6
209	64	127	0.600833
209	64	127	0.601667
208	65	127	0.6025
208	64	128	0.603333
208	64	128	0.604167
208	64	128	0.605
208	63	129	0.605833
208	63	129	0.606667
208	63	129	0.6075
206	65	129	0.608333
206	65	129	0.609167
206	65	129	0.61
207	65	128	0.610833
207	65	128	0.611667
207	65	128	0.6125
207	65	128	0.613333
206	66	128	0.614167
206	66	128	0.615
206	66	128	0.615833
204	68	128	0.616667
204	68	128	0.6175
204	68	128	0.618333
204	68	128	0.619167
204	68	128	0.62
204	67	129	0.620833
203	67	130	0.621667
203	67	130	0.6225
203	67	130	0.623333
203	67	130	0.624167
203	67	130	0.625
203	67	130	0.625833
203	67	130	0.626667
203	67	130	0.6275
203	65	132	0.628333
203	65	132	0.629167
203	65	132	0.63
203	65	132	0.630833
203	65	132	0.631667
204	65	131	0.6325
204	65	131	0.633333
204	65	131	0.634167
204	65	131	0.635
204	65	131	0.635833
205	65	130	0.636667
205	64	131	0.6375
205	64	131	0.638333
205	64	131	0.639167
205	64	131	0.64
204	65	131	0.640833
204	65	131	0.641667
204	65	131	0.6425
204	65	131	0.643333
204	65	131	0.644167
