x	y	z	t
0.913406	0.988724	0	1.525
0.892926	1.00737	0	1.53
0.872076	1.02561	0	1.535
0.850865	1.04344	0	1.54
0.829301	1.06086	0	1.545
0.807393	1.07785	0	1.55
0.78515	1.09442	0	1.555
0.76258	1.11055	0	1.56
0.739693	1.12624	0	1.565
0.716499	1.14149	0	1.57
0.693006	1.15627	0	1.575
0.669224	1.1706	0	1.58
0.645163	1.18446	0	1.585
0.620833	1.19785	0	1.59
0.596243	1.21077	0	1.595
0.571403	1.2232	0	1.6
0.546325	1.23515	0	1.605
0.521017	1.2466	0	1.61
0.49549	1.25756	0	1.615
0.469755	1.26802	0	1.62
0.443821	1.27798	0	1.625
0.4177	1.28744	0	1.63
0.391403	1.29638	0	1.635
0.364939	1.30481	0	1.64
0.338319	1.31273	0	1.645
0.311555	1.32013	0	1.65
0.284656	1.327	0	1.655
0.257634	1.33336	0	1.66
0.2305	1.33919	0	1.665
0.203265	1.3445	0	1.67
0.175939	1.34928	0	1.675
0.148533	1.35353	0	1.68
0.121058	1.35726	0	1.685
0.0935246	1.36045	0	1.69
0.0659444	1.36312	0	1.695
0.0383278	1.36525	0	1.7
0.0106855	1.36686	0	1.705
-0.0169715	1.36794	0	1.71
-0.0446328	1.36849	0	1.715
-0.0722874	1.36851	0	1.72
-0.0999249	1.368	0	1.725
-0.127535	1.36697	0	1.73
-0.155106	1.36542	0	1.735
-0.182629	1.36335	0	1.74
-0.210093	1.36076	0	1.745
-0.237488	1.35765	0	1.75
-0.264803	1.35402	0	1.755
-0.292029	1.34989	0	1.76
-0.319155	1.34524	0	1.765
-0.346172	1.34009	0	1.77
-0.373069	1.33444	0	1.775
-0.399838	1.32828	0	1.78
-0.426469	1.32164	0	1.785
-0.452951	1.3145	0	1.79
-0.479276	1.30687	0	1.795
-0.505435	1.29877	0	1.8
-0.531419	1.29018	0	1.805
-0.557218	1.28112	0	1.81
-0.582825	1.27159	0	1.815
-0.608229	1.2616	0	1.82
-0.633424	1.25115	0	1.825
-0.6584	1.24025	0	1.83
-0.683149	1.22889	0	1.835
-0.707663	1.2171	0	1.84
-0.731935	1.20487	0	1.845
-0.755957	1.19221	0	1.85
-0.779721	1.17912	0	1.855
-0.803219	1.16562	0	1.86
-0.826446	1.15171	0	1.865
-0.849392	1.13739	0	1.87
-0.872053	1.12267	0	1.875
-0.89442	1.10755	0	1.88
-0.916488	1.09206	0	1.885
-0.93825	1.07618	0	1.89
-0.959699	1.05993	0	1.895
-0.980831	1.04332	0	1.9
-1.00164	1.02634	0	1.905
-1.02212	1.00902	0	1.91
-1.04226	0.991356	0	1.915
-1.06206	0.973355	0	1.92
-1.08152	0.955024	0	1.925
-1.10062	0.936372	0	1.93
-1.11937	0.917406	0	1.935
-1.13776	0.898135	0	1.94
-1.15579	0.878564	0	1.945
-1.17345	0.858702	0	1.95
-1.19073	0.838557	0	1.955
-1.20764	0.818136	0	1.96
-1.22417	0.797448	0	1.965
-1.24031	0.776499	0	1.97
-1.25607	0.755298	0	1.975
-1.27143	0.733852	0	1.98
-1.2864	0.71217	0	1.985
-1.30098	0.690258	0	1.99
-1.31515	0.668126	0	1.995
-1.32893	0.64578	0	2
-1.3423	0.623229	0	2.005
-1.35526	0.60048	0	2.01
-1.36781	0.577541	0	2.015
-1.37996	0.55442	0	2.02
-1.39169	0.531126	0	2.025
-1.403	0.507665	0	2.03
-1.4139	0.484045	0	2.035
-1.42439	0.460274	0	2.04
-1.43446	0.436361	0	2.045
-1.4441	0.412312	0	2.05
-1.45333	0.388135	0	2.055
-1.46214	0.363838	0	2.06
-1.47052	0.339428	0	2.065
-1.47848	0.314914	0	2.07
-1.48602	0.290302	0	2.075
-1.49314	0.2656	0	2.08
-1.49984	0.240815	0	2.085
-1.50611	0.215956	0	2.09
-1.51196	0.191028	0	2.095
-1.51739	0.16604	0	2.1
-1.5224	0.140999	0	2.105
-1.52698	0.115912	0	2.11
-1.53115	0.0907853	0	2.115
-1.5349	0.0656272	0	2.12
-1.53822	0.0404442	0	2.125
-1.54113	0.0152434	0	2.13
-1.54363	-0.00996835	0	2.135
-1.5457	-0.0351842	0	2.14
-1.54737	-0.0603974	0	2.145
-1.54862	-0.0856012	0	2.15
-1.54946	-0.110789	0	2.155
-1.54989	-0.135954	0	2.16
-1.54991	-0.16109	0	2.165
-1.54952	-0.18619	0	2.17
-1.54874	-0.211249	0	2.175
