x	y	z	t
0.686088	0.727657	0	1.125
0.662897	0.748851	0	1.13
0.639052	0.769306	0	1.135
0.614577	0.789003	0	1.14
0.589496	0.807921	0	1.145
0.563832	0.826041	0	1.15
0.537613	0.843347	0	1.155
0.510863	0.859821	0	1.16
0.483609	0.875447	0	1.165
0.455879	0.890209	0	1.17
0.427698	0.904092	0	1.175
0.399095	0.917084	0	1.18
0.370099	0.929171	0	1.185
0.340738	0.940342	0	1.19
0.31104	0.950584	0	1.195
0.281036	0.95989	0	1.2
0.250754	0.968248	0	1.205
0.220225	0.975651	0	1.21
0.189479	0.982092	0	1.215
0.158546	0.987564	0	1.22
0.127457	0.992062	0	1.225
0.0962416	0.995582	0	1.23
0.0649316	0.998119	0	1.235
0.0335575	0.999672	0	1.24
0.00215029	1.00024	0	1.245
-0.029259	0.99982	0	1.25
-0.0606395	0.998415	0	1.255
-0.0919601	0.996025	0	1.26
-0.12319	0.992653	0	1.265
-0.154299	0.988302	0	1.27
-0.185255	0.982976	0	1.275
-0.216028	0.976681	0	1.28
-0.246589	0.969422	0	1.285
-0.276906	0.961208	0	1.29
-0.306951	0.952046	0	1.295
-0.336693	0.941945	0	1.3
-0.366102	0.930915	0	1.305
-0.395151	0.918968	0	1.31
-0.42381	0.906114	0	1.315
-0.452051	0.892367	0	1.32
-0.479847	0.87774	0	1.325
-0.507169	0.862248	0	1.33
-0.533991	0.845905	0	1.335
-0.560287	0.828729	0	1.34
-0.586031	0.810735	0	1.345
-0.611197	0.791942	0	1.35
-0.63576	0.772368	0	1.355
-0.659696	0.752033	0	1.36
-0.682982	0.730957	0	1.365
-0.705595	0.70916	0	1.37
-0.727512	0.686664	0	1.375
-0.748712	0.66349	0	1.38
-0.769174	0.639663	0	1.385
-0.788877	0.615205	0	1.39
-0.807803	0.590141	0	1.395
-0.825933	0.564495	0	1.4
-0.843248	0.538293	0	1.405
-0.859732	0.51156	0	1.41
-0.875369	0.484323	0	1.415
-0.890143	0.456608	0	1.42
-0.904039	0.428443	0	1.425
-0.917045	0.399856	0	1.43
-0.929146	0.370875	0	1.435
-0.940332	0.341528	0	1.44
-0.95059	0.311844	0	1.445
-0.959912	0.281854	0	1.45
-0.968288	0.251585	0	1.455
-0.975709	0.221068	0	1.46
-0.982168	0.190334	0	1.465
-0.98766	0.159412	0	1.47
-0.992178	0.128332	0	1.475
-0.995717	0.0971267	0	1.48
-0.998276	0.0658252	0	1.485
-0.999851	0.0344588	0	1.49
-1.00044	0.0030585	0	1.495
-1.00004	-0.0283448	0	1.5
-0.99866	-0.0597202	0	1.505
-0.996293	-0.0910368	0	1.51
-0.992944	-0.122264	0	1.515
-0.988616	-0.15337	0	1.52
-0.983314	-0.184325	0	1.525
-0.977042	-0.215098	0	1.53
-0.969808	-0.24566	0	1.535
-0.961618	-0.275979	0	1.54
-0.95248	-0.306026	0	1.545
-0.942403	-0.335772	0	1.55
-0.931397	-0.365187	0	1.555
-0.919473	-0.394241	0	1.56
-0.906642	-0.422908	0	1.565
-0.892918	-0.451157	0	1.57
-0.878314	-0.478961	0	1.575
-0.862845	-0.506294	0	1.58
-0.846524	-0.533127	0	1.585
-0.829369	-0.559435	0	1.59
-0.811397	-0.585191	0	1.595
-0.792625	-0.610371	0	1.6
-0.773071	-0.634949	0	1.605
-0.752756	-0.658901	0	1.61
-0.731698	-0.682203	0	1.615
-0.709919	-0.704833	0	1.62
-0.68744	-0.726768	0	1.625
-0.664283	-0.747987	0	1.63
-0.640472	-0.768468	0	1.635
-0.616029	-0.788191	0	1.64
-0.590979	-0.807138	0	1.645
-0.565346	-0.825289	0	1.65
-0.539156	-0.842626	0	1.655
-0.512435	-0.859132	0	1.66
-0.485208	-0.874792	0	1.665
-0.457502	-0.889589	0	1.67
-0.429346	-0.903508	0	1.675
-0.400766	-0.916537	0	1.68
-0.371791	-0.928663	0	1.685
-0.34245	-0.939872	0	1.69
-0.312771	-0.950155	0	1.695
-0.282783	-0.959501	0	1.7
-0.252517	-0.967901	0	1.705
-0.222002	-0.975347	0	1.71
-0.191268	-0.98183	0	1.715
-0.160345	-0.987346	0	1.72
-0.129264	-0.991888	0	1.725
-0.0980554	-0.995451	0	1.73
-0.0667502	-0.998033	0	1.735
-0.0353793	-0.999631	0	1.74
-0.0039734	-1.00024	0	1.745
0.0274364	-0.999869	0	1.75
0.0588191	-0.998508	0	1.755
0.0901438	-0.996163	0	1.76
0.12138	-0.992835	0	1.765
0.152496	-0.988528	0	1.77
0.183461	-0.983246	0	1.775
0.214246	-0.976994	0	1.78
0.24482	-0.969779	0	1.785
0.275151	-0.961607	0	1.79
0.305212	-0.952487	0	1.795
0.334971	-0.942427	0	1.8
